Character,Quote
Hank,Griffith Supports Effort to Improve Broadband Access in Rural Communities https://t.co/4qasNJFaB9
Hank,Just like @maddie_rooney35 and @MonsterMike5 from MN06 - and many other talented Minnesota athletes - my Hotdish Of… https://t.co/l8G4CTTsvh
Hank,"Proud of your performance today, @GoJacksMBB. You represented South Dakota well. #GoJacks"
Hank,"Today is the day! The House will vote on the #TaxCutsAndJobsAct to bring 80,000 jobs to #Texas, raise Texans after-… https://t.co/nZigAFgY7C"
Hank,"RT @usahockey: For the third consecutive #WinterParalympics, #TeamUSA is GOLDEN. 🇺🇸🥇 https://t.co/XfdiAgTCGu"
Hank,"Yesterday, @SecretaryPerry testified before the @HouseAppropsGOP Energy &amp; Water Subcommittee. To hear his answers t… https://t.co/87McvaXvFm"
Hank,"Thank you to members of the Illinois Soybean Association who stopped by to discuss the upcoming Farm Bill, infrastr… https://t.co/Z9wDPdQ2gp"
Hank,"Due to the short, holiday week, we will not have mobile office hours in Lewis County tomorrow, Tuesday, Nov. 21. If… https://t.co/joHF3tHnvb"
Hank,Glad I was able to catch these students from Griswold High School yesterday during their visit to the Capitol! https://t.co/9afUQ0frOZ
Hank,"🚨Attn #Berks, #Lebanon, &amp; #Dauphin Counties: Mandatory 10-digit dialing for the 717 area code goes into effect Sat.

https://t.co/hALar1hpZZ"
Hank,"RT @biaamerica: Save the Date: Brain Injury Awareness Day will take place March 20, 2018! Thank you to the Congressional Brain Injury Task…"
Hank,"RT @RepKevinBrady: Step 1: Tax Reform Framework ✅
Step 2: Pass Budget with @RepDianeBlack
Step 3: #TaxReform 
Step 4: An American Economy B…"
Hank,"""If you're a veteran who needs help navigating the VA or any federal agency, please let my office know by calling u… https://t.co/6MSoFXtuQN"
Hank,.@HouseAppropsGOP approves FY18 Energy &amp; Water bill w/funding for Army Corps of Engineers &amp; flood control projects like @TRVFortWorth
Hank,RT @SoFlaOpinion: @RosLehtinen &amp; @SenReneGarcia: Diluting the accuracy of #Census2020 through an unnecessary and untimely citizenship quest…
Hank,This presentation from @netanyahu is worth your time. Iran continues to mislead the international community about i… https://t.co/FgCRMEJ5C4
Hank,Expanding access to affordable #housing is also emphasized in this legislation. CDBG grants are funded at $3.3 bill… https://t.co/knUlXuIk1s
Hank,Gracias @MichaelGongora #KristenRosenGonzalez + @MiamiBeachNews! It’s a thrill to represent one of #SoFla’s most ha… https://t.co/WlcDFvWodg
Hank,RT @HouseGOP: Cutting your taxes isn’t the only thing we’ve done. Check out even more on https://t.co/L04zCgD5Oy. https://t.co/MQpNfKH2Qj
Hank,"RT @davidwhitley: Congressman Jeff Duncan proclaiming this week as National Auctioneers Week.  Thank you, sir! https://t.co/cVgYg2KUYi"
Hank,"Though now 75 years ago, we remain forever grateful for their courage &amp; their sacrifice. #PearlHarborRemembranceDay… https://t.co/ppW3sWrrTC"
Hank,TOMORROW: A full committee hearing to explore the inability of the Corporation for National and Community Service t… https://t.co/PdcKuok2MY
Hank,Just read a letter from one of my constituents on the Floor.  Veterans in crisis should never be told by VA to write down a phone number!
Hank,"RT @SecretaryAcosta: Looking forward to joining @VP, @LtGovTex,@PeteSessions, @RepHensarling today in Dallas to highlight how @POTUS tax re…"
Hank,Thank you to my colleagues in Congress for passing a bill I introduced with @RepTedDeutch to defend our veterans ag… https://t.co/l5MpdT0Eok
Hank,"WATCH: @WaysandMeansGOP hearing on Social Security coverage, payroll tax compliance for state/local gov employees https://t.co/geyKlumosw"
Hank,RT @VP: My statement on the Iran Nuclear Deal—&gt; https://t.co/OhOtrTrYcQ
Hank,"RT @FinancialCmte: Despite the snow in D.C., our markup is continuing as scheduled today. Watch live starting at 10am ET: https://t.co/u2al…"
Hank,"Yesterday, the IMF released an update to its World Economic Outlook showing a sizable increase in economic growth d… https://t.co/wo8qtxKTWq"
Hank,"As I told @TeamCavuto on @FoxNews this morning, I will never apologize for championing America's greatness &amp; nation… https://t.co/r41dOOqVJw"
Hank,We must condemn violence against protesters and journalists in #Nicaragua. Censorship and brutality must end. https://t.co/2M3cD3MWFD
Hank,Breaking the Silence: Addressing Sexual Assault on College Campus https://t.co/shkK1EIBZU
Hank,“Foreign powers are running intelligence operations throughout the U.S. with unprecedented independence from the sa… https://t.co/owkE8Rr8Ej
Hank,Read this ↓ #TaxReform https://t.co/crYht1VeIJ
Hank,.@IUBloomington IU moneysmarts program helps students make informed financial decisions before/during/after college #GOPFuture #millennials
Hank,RT @FreedomWorks: FreedomWorks' Congressman of the Month - Jim Bridenstine: https://t.co/sv8wACl7ie via @NeilSiefring
Hank,Great to be in Hudson today for another coffee hour with constituents. Thanks to @_SMCSI for hosting and to everyon… https://t.co/stamEGJ3X8
Hank,Scenes from this morning's Full Committee markup. #infrastructure https://t.co/9JgcQ91XOy
Hank,RT @RepublicanStudy: Rep. Mark Walker: Fix our broken immigration system without giving in to amnesty @dcexaminer https://t.co/R9YbUodE1g
Hank,RT @CraigCaplan: Good day for sledding on Capitol Hill while Congress works inside. https://t.co/QJn5W7pLPd
Hank,"“God's mercy and grace give me hope—for myself, and for our world.” — @BillyGraham, whose hope has now turned to sight"
Hank,"RT @HouseGOP: .@CathyMcMorris: The value of human life, that timeless principle, is one that we must continue to cherish. https://t.co/jsgL…"
Hank,"Shutting down the government is never a good idea. Today, on the House Floor, I urged Congress to vote on the conti… https://t.co/qWRt7kRy7W"
Hank,Good news for the 32K+ South Carolinians who work at Walmart... https://t.co/bjMpUUOLsg
Hank,"RT @HouseGOP: .@POTUS: My duty, and the sacred duty of every elected official in this chamber, is to defend Americans -- to protect their s…"
Hank,Great story about @POTUS Interior Secretary @SecretaryZinke immersing himself in the new job! https://t.co/J9TBKc5mRy
Hank,@californialiber @IngrahamAngle precisely the opposite!  :)
Hank,Interesting article on the use of body cameras featuring Sheriff Cappa who was a witness @ our #LETaskforce hearing: http://t.co/bhtkhfo1dv
Hank,RT @4FreedominIran: .@RepTomGarrett: We should make it clear who the majority of the victims of #Iranian horrific crimes against humanity w…
Hank,Interesting discussion today with @mschlapp @DSafavianEsq &amp; @jaredkushner about criminal justice reform. https://t.co/p4IQjnUYkr
Hank,So glad my office could join the @ChamberCarlsbad in celebration of the new Bank of the West location in Carlsbad. https://t.co/aS1uZScxK3
Hank,.@RepAdamSchiff's memo does not disprove that politically funded documents were used as evidence in court. My full… https://t.co/sJU5fHkAoo
Hank,https://t.co/G9kWfIgKUn
Hank,Happy St. Patrick’s Day!! ☘️
Hank,Tonight I'll have the privilege of hearing the #SOTU I've been waiting to hear since I first came to Congress 7 yea… https://t.co/5jHP84Ffi4
Hank,"RT @FoxNews: .@ToddRokita: ""It's an easy question: Do you condemn anti-Semitism? And the modern Democratic Party...can't answer the questio…"
Hank,ICYMI - here is my interview with @wolfblitzer discussing #NorthKorea and the state of our military. https://t.co/SBS3HOQndB
Hank,"Read my statement on today's vote for disaster aid, the debt limit, &amp; continuing resolution: https://t.co/aSKypaZEub"
Hank,RT @NeCGA: @uplandcounty’s group had a great visit with @RepAdrianSmith this afternoon to cap off the first day. We appreciate the Congress…
Hank,"The House voted two days ago to keep the government open, fund #CHIP, and provide our military with the resources t… https://t.co/ctrmBUaGcA"
Hank,Had a nice visit with Will Burney today of Pell City.    Burney is in town with the American… https://t.co/AI1amtB9Cw
Hank,Americans stand in solidarity with our friends and allies in #London after this heinous terror attack.
Hank,Over two-thirds of the states in this country have concealed carry reciprocity with Texas. Like their driver’s lice… https://t.co/jS31tG2ScV
Hank,RT @HumaneSociety: Many thanks to @PeterRoskam for introducing the PACE Act to strengthen animal fighting prohibitions! https://t.co/oGIM4v…
Hank,RT @WaysandMeansGOP: @NancyPelosi .@NancyPelosi we want to draw your attention to this letter excerpt from the non-partisan CBO. Republican…
Hank,#Taxreform working: business leader tells me his employees thought they were getting their annual March bonuses ear… https://t.co/TA3rLeCHgG
Hank,RT @MTkerilyne: Thank you @RyanZinke for supporting this bill! #CancerMoonshot #onedegree #ACSCANMT https://t.co/FyMARuxoha
Hank,RT @BizRoundtable: @RepChuck Thank you for supporting #TaxReform and voting for higher wages for American workers and more jobs. https://t.…
Hank,Looking forward to @POTUS 45 #SOTU2018
Hank,"True patriot w/ deep commitment to country, @SpeakerRyan has done exceptional job. While my colleagues &amp; I know the… https://t.co/SSm3FNORKK"
Hank,"I'm calling on @SpeakerRyan, @GOPLeader, &amp; @SteveScalise to include the #ConscienceProtectionAct in the omnibus &amp; a… https://t.co/verTbv6LjV"
Hank,I am pleased that South &amp; North Korea made progress to ease their tensions &amp; agreed to end their decades of conflic… https://t.co/VfKGhrOZKI
Hank,The #TaxCutandJobs act will help make the #AmericanDream possible for the next generation. Click here to learn more… https://t.co/EOnxRo3Mq2
Hank,"ICYMI, I hosted a resource fair in Greenville that served as a one-stop-shop for veterans to learn more about avail… https://t.co/czXKRE0hXb"
Hank,Thank you for having me! I was very excited to learn about all the great developments happening at @BenEKeithFoods. https://t.co/XIp31dqrEk
Hank,An honor to have @SecretaryCarson in #IA01 to discuss solutions to the #OpioidEpidemic https://t.co/VPZVT91b3A
Hank,"This was a horrible tragedy, but through it, Mainers have shown their true kindness and unity. I continue to be ama… https://t.co/6Sf5zTh6J8"
Hank,"At @HouseScience today, I discussed the importance of Ag research &amp; education in securing our country’s food supply https://t.co/kTdpUoWyIY"
Hank,"Jobs, Jobs, Jobs thanks to the #TaxCutsandJobsAct!

https://t.co/PfqSQ8QeRJ"
Hank,On LIVE with @1450whtc - tune in &gt;&gt; https://t.co/EvoZOpfDCO
Hank,Honored to serve the constituents of Arkansas’ Third District! #AR3 https://t.co/mqE3hXc1QZ
Hank,"Grateful for the opportunity to meet with representatives from @MBAMortgage, &amp; the South State Bank in Blythewood.… https://t.co/1qxk4G5Qga"
Hank,"Victims of Communism continue to pile up. In North Korea, a soldier bravely attempts to defect, and is gunned down.… https://t.co/5c1EStKG7z"
Hank,"RT @HouseGOP: .@RepTomPrice ""Washington has tried the bureaucratic way, and it is failing. It’s time to try a #BetterWay."" https://t.co/tTd…"
Hank,Happy Easter!
Hank,Great to attend the @BAPSCharities Walk in Sugar Land yesterday! The walk will support efforts to plant one billion… https://t.co/FXnZVnlu4l
Hank,“International unfair competition through the sale of counterfeit and pirated products has been dramatically increa… https://t.co/cCaoIW8zdF
Hank,"The @DEAHQ’s National Prescription Drug #TakeBackDay provides a safe, convenient, and responsible way to dispose of… https://t.co/HPx42Eawo3"
Hank,"Terrific morning of Little League openings in Massapequa, Seaford and Deer Park. Great coaches. Great parents. Grea… https://t.co/XTdxkvDqd5"
Hank,Kelsey told me what an honor it was to stand by @realDonaldTrump with her daughters at the #MarchForLife rally. Gre… https://t.co/SYYxjTKoWw
Hank,RT @cspanwj: Representative Dan Newhouse (R-WA) joins us this morning to talk about Friday's government funding deadline and the future of…
Hank,More benefits from the #TaxCutsandJobsAct! @UPS announces $12 billion investment to expand the company's Smart Logi… https://t.co/npkZEKIPXI
Hank,"Great to be with @realDonaldTrump today for GOP conference meetings. This time last year, we were working on our pl… https://t.co/eF6NRRiQYk"
Hank,A commentary piece from @jakejakeny on CNBC: Don't blame the NRA for failed gun control efforts  https://t.co/klFOM2SnTF
Hank,"Still time to vote in our immigration poll! Over 4,000 responses so far! https://t.co/zgaTChXFBZ"
Hank,RT @TODAYshow: The love between George H.W. and Barbara Bush was one for the ages. Watch them share their love letters on TODAY in 2011. ht…
Hank,Wishing everyone a very Merry Christmas and happy holidays! 🎄 https://t.co/s01WcAwsMI
Hank,Great job by @realDonaldTrump in securing the release of American prisoners in North Korea. Equally important is th… https://t.co/uV2HYGBTHO
Hank,"Today was a big win for the 15,000 farmers of the Fourth District. Thanks to @BRNAgNews_NH for having me on to talk… https://t.co/3TEqSjxXvG"
Hank,Praying for everyone's safety in East Texas through the storms. https://t.co/9XnPdCobqc
Hank,These Iowans from representing the United Postmasters and Managers of America came by to talk to me about postal re… https://t.co/7FYeQXSc3e
Hank,"Yesterday, I had a great time with many friends at the Waxhaw Christmas parade! Thank you to everyone who braved th… https://t.co/i0LJ6TkQ8A"
